count	reward_sum	squared_reward_sum	length
591	-28.024967173929326	6.668723290687132	1000
592	-15.032120181596838	7.567364321657675	1000
593	-27.488949105725624	2.466669803279615	1000
594	-36.86901101726107	2.868712607123873	1000
595	-6.745018941699527	9.665142624014468	1000
596	-106.01682235277258	10004.1617662712	443
597	-92.77030253631528	10004.335320055614	525
598	-123.08065021876246	10007.652791663213	328
599	-86.84545684163459	10008.284013712291	878
600	-55.53605825966224	7.747864602017384	1000
601	-8.980158276273869	4.637652892811987	1000
602	-100.16828693449497	10003.080867422852	69
603	-101.65393375791609	10002.438449394735	91
604	-72.36549850925803	6.371086304054849	1000
605	-103.79636165965348	10002.153954840383	112
606	-78.69092850200832	7.299483410965371	1000
607	-100.11691370606422	10002.565107545492	85
608	-102.31047471240163	10004.339969931312	58
609	-99.90659455955029	10003.011329277737	68
610	-80.86435423698276	7.381171924337755	1000
611	-66.68552889022976	6.032887618462153	1000
612	-99.39357963390648	10003.441932450134	75
613	-102.4443872673437	10002.724297758576	107
614	-109.35914560314268	10004.672160837375	132
615	-104.03123165294528	10005.905376849916	58
616	-103.35775190370623	10002.65204429964	126
617	-102.48889095103368	10002.598014081808	129
618	-98.77399450168014	10003.876660802745	69
619	-100.87187975645065	10003.36495733349	75
620	-100.09573963284492	10004.248773337773	60
621	-98.96266423352063	10004.190905917701	62
622	-99.04923802614212	10003.981259129207	63
623	-99.27159009873867	10003.70202219111	71
624	-101.86351582407951	10004.656208219254	59
625	-102.81029146164656	10005.253703009268	61
626	-102.38386000692844	10004.545979147513	57
627	-105.47214213013649	10005.363729427163	66
628	-99.78049860522151	10003.383705453221	73
629	-103.99689653515816	10004.967640146035	65
630	-101.52223744243383	10003.678206661934	65
631	-100.7684694826603	10004.077627629345	58
632	-105.34165900200605	10005.14912010035	70
633	-100.27303126454353	10004.378945390028	57
634	-101.2342385686934	10003.016951157586	83
635	-98.9932104498148	10004.380520904428	61
636	-100.03018955513835	10003.134419313443	74
637	-105.12669840455055	10005.88348909471	66
638	-100.31176303885877	10003.820151054406	63
639	-98.74780478328466	10003.613602795538	64
640	-99.22371051460505	10003.655198763927	70
641	-67.58769523352385	5.636083786310615	1000
642	-99.16168101131916	10004.015914973857	59
643	-69.36331040225923	5.862564368729091	1000
644	-104.09439839515835	10002.198227359231	92
645	-28.07703107292764	5.261488308712877	1000
646	-19.50325716577936	4.798905791905817	1000
647	-33.4492314325762	5.6677279387242745	1000
648	-43.992567420820706	8.61573766887182	1000
649	-16.476268766913563	3.7724400243483593	1000
650	-24.23199728212785	3.3250362211508153	1000
651	1.60513034183532	4.532872897767367	1000
652	-40.08098301070277	11.792006732335608	1000
653	-23.88845496175054	6.04549236357426	1000
